phrase  length  count
point drive   2 5106
public school   2 5103
forest drive  2 5101
perry   1 5064
redwood   1 5059
luther  1 5059
diamond   1 5055
vista drive   2 5052
apartments  1 5049
stewart   1 5041
robinson  1 5039
episcopal church  2 5037
alexander   1 5023
coast   1 5015
marion  1 5001
cottonwood  1 4994
jack  1 4994
lynn  1 4988
north-west  1 4965
ridge lane  2 4961
sugar   1 4955
dental clinic   2 4942
vernon  1 4935
leaf  1 4928
gap   1 4900
eastern   1 4898
express   1 4896
pioneer   1 4894
lady  1 4887
riverview   1 4878
sherwood  1 4869
fern  1 4869
evans   1 4864
drive east  2 4863
clay  1 4862
hunter  1 4857
scenic  1 4847
hut   1 4846
circuit   1 4844
parking lot   2 4843
cliff   1 4842
roberts   1 4838
spring street   2 4834
dam   1 4825
kelly   1 4812
west avenue   2 4801
cherry street   2 4800
states  1 4792
south road  2 4791
berry   1 4790
phillips  1 4770
marsh   1 4766
flat  1 4751
peak  1 4750
soi   1 4742
drive west  2 4741
shop  1 4722
fork road   2 4720
mill lane   2 4717
north county  2 4706
court northeast   2 4703
estate  1 4694
district  1 4691
quarry  1 4690
tr  1 4680
roundabout  1 4672
autumn  1 4665
arbor   1 4661
murray  1 4658
hall road   2 4652
jesus   1 4649
tree lane   2 4649
turner  1 4648
kindergarten  1 4644
oak road  2 4643
rd.   1 4638
young   1 4628
east county   2 4623
northern  1 4621
chapel road   2 4615
creek court   2 4602
george street   2 4587
heather   1 4587
united states   2 4586
house road  2 4582
edward  1 4579
commercial  1 4575
west road   2 4564
hemlock   1 4561
drive north   2 4557
cooper  1 4549
for   1 4541
junior high   2 4540
hawthorne   1 4536
mt  1 4530
carter  1 4527
vale  1 4523
general   1 4522
mall  1 4518
island road   2 4508
austin  1 4499
lincoln street  2 4488
wildwood  1 4488
nursery   1 4487
dove  1 4483
dori  1 4483
cook  1 4479
emerald   1 4462
rogers  1 4460
depot   1 4459
brook road  2 4452
adirondack  1 4446
plum  1 4439
company   1 4435
blvd  1 4433
mary's  1 4423
cardinal  1 4408
junior high school  3 4404
edgewood  1 4401
commerce  1 4392
hudson  1 4387
swan  1 4387
gold  1 4387
international   1 4385
second  1 4384
stanley   1 4382
colonial  1 4382
drive south   2 4370
camp road   2 4368
wright  1 4362
y   1 4362
medicine clinic   2 4359
myrtle  1 4352
belmont   1 4346
church lane   2 4341
moss  1 4340
smith road  2 4333
collins   1 4329
mason   1 4325
paradise  1 4322
store   1 4318
view lane   2 4313
rolling   1 4312
washington avenue   2 4302
kent  1 4301
pennsylvania  1 4297
abbey   1 4284
mountain view   2 4277
clover  1 4271
queens  1 4271
broad street  2 4262
sierra  1 4254
club road   2 4252
valley view   2 4243
ward  1 4229
harbour   1 4225
union street  2 4219
john's  1 4218
colony  1 4218
overlook  1 4213
north county road   3 4211
butler  1 4205
springfield   1 4201
bruce   1 4199
chester   1 4196
clinton   1 4195
concord   1 4181
franklin street   2 4174
sunset drive  2 4167
buffalo   1 4167
rainbow   1 4156
boundary  1 4149
sideroad  1 4147
shadow  1 4147
place northeast   2 4146
no  1 4144
bailey  1 4136
mine  1 4132
missionary  1 4129
church of the   3 4127
fish restaurant   2 4126
school street   2 4126
club drive  2 4124
street court  2 4122
elk   1 4120
john street   2 4107
lakeview drive  2 4105
ashley  1 4102
newton  1 4100
gray  1 4098
first baptist   2 4094
railroad avenue   2 4091
city hall   2 4088
bush  1 4086
grandview   1 4083
homestead   1 4083
queen street  2 4076
heath   1 4076
spruce street   2 4053
houston   1 4034
faith   1 4026
our   1 4020
desert  1 4011
court northwest   2 4009
james street  2 4006
garfield  1 4006
heron   1 4004
maple avenue  2 4003
palmer  1 4002
hills road  2 3995
barn  1 3994
area  1 3988
adirondack park   2 3979
martin luther   2 3978
first baptist church  3 3972
federal   1 3971
montgomery  1 3970
bradley   1 3965
cumberland  1 3965
sherman   1 3962
oakland   1 3960
michael   1 3948
rio   1 3942
meadow drive  2 3942
arms  1 3939
east county road  3 3938
pecan   1 3935
edge  1 3932
oak court   2 3930
wallace   1 3912
luther king   2 3912
martin luther king  3 3902
adams street  2 3898
three   1 3891
ash street  2 3889
lone  1 3887
hill court  2 3882
fountain  1 3877
princes   1 3877
place southeast   2 3876
roman   1 3875
briar   1 3860
hawk  1 3860
morning   1 3856
wolf  1 3855
police department   2 3854
westwood  1 3849
broadway street   2 3849
trans-canada  1 3840
old highway   2 3835
fairfield   1 3833
blossom   1 3831
falcon  1 3830
logan   1 3818
of jesus  2 3814
harvest   1 3813
hunters   1 3806
brookside   1 3803
lincoln avenue  2 3793
hazel   1 3791
dairy   1 3783
riverside drive   2 3777
ohio  1 3771
locust street   2 3770
street nw   2 3767
graham  1 3767
peach   1 3767
calvary   1 3760
london road   2 3756
charles street  2 3755
green lane  2 3753
oriental  1 3750
river drive   2 3749
common  1 3744
lane northeast  2 3744
skyline   1 3741
jesus christ  2 3737
glenwood  1 3726
secondary   1 3725
foster  1 3724
buck  1 3720
